"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-01501-0014","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","Always","NULL","all","ERROR"
"BR-BT-01501-0015","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","Always","NULL","all","ERROR"
"BR-BT-01501-0016","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","Always","NULL","all","ERROR"
"BR-BT-01501-0017","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type .","CEI","Always","NULL","all","ERROR"
"BR-BT-01501-0018","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","Always","NULL","all","ERROR"
"BR-BT-01501-0019","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","Always","NULL","all","ERROR"
"BR-BT-01501-0020","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","Always","NULL","all","ERROR"
"BR-BT-01501-0021","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","Always","NULL","all","ERROR"
"BR-BT-01501-0022","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Contract notice – general directive, standard regime.","16","Always","NULL","all","ERROR"
"BR-BT-01501-0023","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Contract notice – sectoral directive, standard regime.","17","Always","NULL","all","ERROR"
"BR-BT-01501-0024","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Contract notice – defence directive, standard regime .","18","Always","NULL","all","ERROR"
