"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-01311-0117","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Contract notice – defence directive, standard regime .","18","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0118","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Concession notice – concessions directive, standard regime.","19","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0120","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Contract notice – general directive, light regime.","20","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0121","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Contract notice – sectoral directive, light regime.","21","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0122","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Subcontract notice – defence directive.","22","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0123","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Design contest notice – general directive, design.","23","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01311-0124","forbidden","BT-1311(t)-Lot","The BT-1311 Deadline Receipt Requests is allowed at Lot level for a notice of type Design contest notice – sectoral directive, design.","24","Deadline receipt Requests date (BT-1311(d)-Lot) is not present","NULL","all","ERROR"
"BR-BT-01351-0001","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-01351-0002","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-01351-0004","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR"
"BR-BT-01351-0005","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR"
"BR-BT-01351-0006","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR"
"BR-BT-01351-0007","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used only for information – general directive.","4","Always","NULL","all","ERROR"
"BR-BT-01351-0008","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","Always","NULL","all","ERROR"
